URL	Название	Цена	Продолжительность	Изображений	Категория
https://hostaotdykh.ru/ekskursii/gagra-pitcynda-n-afon-detail.html	Экскурсии : Гагра, Пицунда, Новый Афон	500 руб	14ч	10	Общие
https://hostaotdykh.ru/ekskursii/33-vodopada-volkonskij-dolmen-detail.html	Экскурсии по Сочи и Абхазии, цены 2018 404 - Запрашиваемый товар не существует!	1000 руб	None	19	Общие
https://hostaotdykh.ru/ekskursii/olimpijskij-park-detail.html	Экскурсии : Олимпийский парк	1200 руб	Продолжительность: 4ч	9	Общие
https://hostaotdykh.ru/ekskursii/krasnaya-polyana-park-vodopadov-detail.html	Экскурсии : «Роза Хутор» Парк водопадов Минделиха+ бонус :КЭЦ «Моя Россия».	1000 руб	Продолжительность: 8ч	10	Общие
https://hostaotdykh.ru/ekskursii/33-vodopada-kavkazskoe-zastolje-shoy-detail.html	Экскурсии : Долина легенд и 33 водопада.	1000 руб	Продолжительность: 10ч	7	Общие
https://hostaotdykh.ru/ekskursii/syhym-termalnyj-istochnik-detail.html	Экскурсии : Сухум – Термальный источник	500 руб	14ч	8	Общие
https://hostaotdykh.ru/ekskursii/kyrorty-krasnoi-polyany-detail.html	Экскурсии по Сочи и Абхазии, цены 2018 404 - Запрашиваемый товар не существует!	1000 руб	None	19	Общие
https://hostaotdykh.ru/ekskursii/ekskursii-sochi/%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F-%D0%BF%D0%BE%D0%BB%D1%8F%D0%BD%D0%B0-detail.html	Экскурсии по Сочи и Абхазии, цены 2018 404 - Запрашиваемый товар не существует!	1000 руб	None	19	Сочи
https://hostaotdykh.ru/ekskursii/transfer-v-skypark-detail.html	Экскурсии : Трансфер в SkyPark	400 руб	Продолжительность: 4ч	10	Общие
https://hostaotdykh.ru/ekskursii/voroncovskaya-peschera-detail.html	Экскурсии : Воронцовская пещера	1300 руб	6ч	10	Общие
https://hostaotdykh.ru/ekskursii/po-svyatym-mestam-abhazii-detail.html	Экскурсии : По святым местам Абхазии	500 руб	Продолжительность: 11ч	10	Общие
